Date,price,open,high,low,change_pct
10/6/2021,55323.2,51470,55676.1,50439.5,0.0749
10/5/2021,51469.3,49229.5,51872.4,49060.1,0.0455
10/4/2021,49227.3,48200.4,49481.7,46958.6,0.0213
10/3/2021,48200.1,47665.4,49165.2,47123,0.0112
10/2/2021,47666.9,48147.2,48306.9,47451.7,-0.01
10/1/2021,48146,43824.4,48435.2,43292.9,0.0986
9/30/2021,43823.3,41534.5,44101.2,41416.7,0.055
9/29/2021,41536.8,41023.1,42571.2,40815,0.0125
9/28/2021,41022.3,42169.9,42758.8,40906.4,-0.0273
9/27/2021,42172.6,43200.9,44293.2,42143.9,-0.0239
9/26/2021,43203.4,42685.8,43907.3,40786.6,0.0121
9/25/2021,42686.8,42818.7,42959.3,41714.5,-0.0031
9/24/2021,42819.9,44867.4,45112,40908.5,-0.0457
9/23/2021,44869.2,43550.7,44949.8,43090.1,0.0303
9/22/2021,43551.6,40660.8,43976.7,40585.7,0.0713
9/21/2021,40651.3,43012.3,43619.3,39646.8,-0.0518
9/20/2021,42870.6,47240.8,47323.9,42547.1,-0.0925
9/19/2021,47238.7,48299.9,48341.9,46866.6,-0.0221
9/18/2021,48306.7,47283.9,48761,47070.5,0.0217
9/17/2021,47282.8,47748.2,48155.9,46788.8,-0.0097
9/16/2021,47748,48132.3,48480.6,47040.3,-0.008
9/15/2021,48130.6,47070.8,48436.5,46743.9,0.0224
9/14/2021,47077.5,44950.2,47247.6,44718.7,0.0473
9/13/2021,44949.5,46060.8,46807.7,43463.2,-0.0242
9/12/2021,46062.3,45162.6,46386.4,44755.2,0.0199
9/11/2021,45161.9,44844.9,45975.6,44766.6,0.0071
9/10/2021,44842.8,46385.9,47021.6,44283.6,-0.0333
9/9/2021,46385.6,46057.6,47305.7,45609,0.007
9/8/2021,46061.4,46774.1,47316.9,44493.7,-0.0154
9/7/2021,46779.6,52674.2,52885.3,43072.4,-0.1119
9/6/2021,52672.1,51769.4,52726.2,51002.8,0.0175
9/5/2021,51768.6,49918.7,51878.2,49492.4,0.0371
9/4/2021,49918.4,49999.3,50534.6,49461.4,-0.0016
9/3/2021,49999,49269.5,51008.8,48377.3,0.0147
9/2/2021,49274.3,48817.8,50355.3,48612.9,0.0093
9/1/2021,48819.4,47129.2,49121,46533.1,0.0358
8/31/2021,47130.4,46989.1,48217,46709.3,0.0029
8/30/2021,46992.7,48777.1,48886,46876.9,-0.0366
8/29/2021,48777.4,48899.7,49621.7,47870.1,-0.0024
8/28/2021,48897.1,49062.8,49289.4,48428.5,-0.0034
8/27/2021,49064.3,46830.2,49142,46371.5,0.0477
8/26/2021,46831.6,48994.4,49347.8,46360.4,-0.0441
8/25/2021,48994.5,47707.4,49230.2,47163.3,0.0268
8/24/2021,47714.7,49532.5,49847.4,47623.6,-0.0368
8/23/2021,49539.7,49255.4,50498.8,49038.6,0.0058
8/22/2021,49254.5,48870.4,49480.3,48151,0.0077
8/21/2021,48875.8,49330,49719.1,48293.5,-0.0091
8/20/2021,49324,46756.7,49343.3,46646.8,0.0549
8/19/2021,46755.9,44725.9,47012.3,43986.7,0.0454
8/18/2021,44723.8,44691.1,46004.9,44230,0.0007
8/17/2021,44691.6,45907.5,47140.6,44441.3,-0.0284
8/16/2021,45996.3,46991.6,48002.4,45672.1,-0.0212
8/15/2021,46991.3,47082.6,47344.1,45564.1,-0.0019
8/14/2021,47081.5,47809.6,48090.9,46117.2,-0.0152
8/13/2021,47809.1,44404,47836,44242.4,0.0767
8/12/2021,44403.4,45562.3,46213.8,43814.7,-0.0255
8/11/2021,45564.3,45593.2,46736.5,45367.9,-0.0006
8/10/2021,45593.8,46281.8,46663.4,44681.2,-0.0149
8/9/2021,46284.3,43794.9,46460.7,42824.1,0.0569
8/8/2021,43792.8,44584.9,45284.1,43314.4,-0.0184
8/7/2021,44614.2,42784.7,44697.3,42611,0.0425
8/6/2021,42795.4,40868.4,43253.4,39905.4,0.0472
8/5/2021,40867.2,39734.4,41366.3,37365.4,0.0284
8/4/2021,39736.9,38188.4,39956.5,37556,0.0421
8/3/2021,38130.3,39167.4,39766.6,37688.2,-0.0265
8/2/2021,39168.4,39869.8,40449,38692.5,-0.0178
8/1/2021,39878.3,41510,42565,39556.5,-0.0403
7/31/2021,41553.7,42201.4,42285.3,41066.4,-0.0154
